Dt_time,Dt,Odisha
02/01/2019 00:00:00,02/01/2019,70.2
03/01/2019 00:00:00,03/01/2019,67.9
04/01/2019 00:00:00,04/01/2019,66.3
05/01/2019 00:00:00,05/01/2019,65.8
06/01/2019 00:00:00,06/01/2019,62.9
07/01/2019 00:00:00,07/01/2019,64
08/01/2019 00:00:00,08/01/2019,63.6
09/01/2019 00:00:00,09/01/2019,86.6
10/01/2019 00:00:00,10/01/2019,78.8
11/01/2019 00:00:00,11/01/2019,78.4
12/01/2019 00:00:00,12/01/2019,82.4
13/01/2019 00:00:00,13/01/2019 00:00:00,84.3
14/01/2019 00:00:00,14/01/2019 00:00:00,85.7
15/01/2019 00:00:00,15/01/2019 00:00:00,82.1
16/01/2019 00:00:00,16/01/2019 00:00:00,82.6
17/01/2019 00:00:00,17/01/2019 00:00:00,85.9
18/01/2019 00:00:00,18/01/2019 00:00:00,89.1
19/01/2019 00:00:00,19/01/2019 00:00:00,98.1
20/01/2019 00:00:00,20/01/2019 00:00:00,96.5
21/01/2019 00:00:00,21/01/2019 00:00:00,97.6
22/01/2019 00:00:00,22/01/2019 00:00:00,97.2
23/01/2019 00:00:00,23/01/2019 00:00:00,97.1
24/01/2019 00:00:00,24/01/2019 00:00:00,98
25/01/2019 00:00:00,25/01/2019 00:00:00,97.1
26/01/2019 00:00:00,26/01/2019 00:00:00,87.7
27/01/2019 00:00:00,27/01/2019 00:00:00,51.1
28/01/2019 00:00:00,28/01/2019 00:00:00,55.8
29/01/2019 00:00:00,29/01/2019 00:00:00,62
30/01/2019 00:00:00,30/01/2019 00:00:00,80.1
31/01/2019 00:00:00,31/01/2019 00:00:00,76.1
02/02/2019 00:00:00,02/02/2019,77.3
03/02/2019 00:00:00,03/02/2019,73.2
04/02/2019 00:00:00,04/02/2019,72.8
05/02/2019 00:00:00,05/02/2019,70.7
06/02/2019 00:00:00,06/02/2019,70.3
07/02/2019 00:00:00,07/02/2019,76.6
08/02/2019 00:00:00,08/02/2019,77.4
09/02/2019 00:00:00,09/02/2019,80.1
10/02/2019 00:00:00,10/02/2019,78.3
11/02/2019 00:00:00,11/02/2019,83.3
12/02/2019 00:00:00,12/02/2019,84.1
13/02/2019 00:00:00,13/02/2019 00:00:00,84
14/02/2019 00:00:00,14/02/2019 00:00:00,82.3
15/02/2019 00:00:00,15/02/2019 00:00:00,80.3
16/02/2019 00:00:00,16/02/2019 00:00:00,76.4
17/02/2019 00:00:00,17/02/2019 00:00:00,75.6
18/02/2019 00:00:00,18/02/2019 00:00:00,73.5
19/02/2019 00:00:00,19/02/2019 00:00:00,74.4
20/02/2019 00:00:00,20/02/2019 00:00:00,73.3
21/02/2019 00:00:00,21/02/2019 00:00:00,96.5
22/02/2019 00:00:00,22/02/2019 00:00:00,89.5
23/02/2019 00:00:00,23/02/2019 00:00:00,86.6
24/02/2019 00:00:00,24/02/2019 00:00:00,91.6
25/02/2019 00:00:00,25/02/2019 00:00:00,96.6
26/02/2019 00:00:00,26/02/2019 00:00:00,96.8
27/02/2019 00:00:00,27/02/2019 00:00:00,85.8
28/02/2019 00:00:00,28/02/2019 00:00:00,70.1
02/03/2019 00:00:00,02/03/2019,71
03/03/2019 00:00:00,03/03/2019,71.5
04/03/2019 00:00:00,04/03/2019,71.2
05/03/2019 00:00:00,05/03/2019,70.1
06/03/2019 00:00:00,06/03/2019,70.1
07/03/2019 00:00:00,07/03/2019,75.1
08/03/2019 00:00:00,08/03/2019,87.6
09/03/2019 00:00:00,09/03/2019,88.5
10/03/2019 00:00:00,10/03/2019,84.8
11/03/2019 00:00:00,11/03/2019,89.2
12/03/2019 00:00:00,12/03/2019,94.8
13/03/2019 00:00:00,13/03/2019 00:00:00,95.7
14/03/2019 00:00:00,14/03/2019 00:00:00,96.9
15/03/2019 00:00:00,15/03/2019 00:00:00,59.5
16/03/2019 00:00:00,16/03/2019 00:00:00,63
17/03/2019 00:00:00,17/03/2019 00:00:00,66.1
18/03/2019 00:00:00,18/03/2019 00:00:00,65.5
19/03/2019 00:00:00,19/03/2019 00:00:00,67.5
20/03/2019 00:00:00,20/03/2019 00:00:00,67.4
21/03/2019 00:00:00,21/03/2019 00:00:00,70.2
22/03/2019 00:00:00,22/03/2019 00:00:00,72.1
23/03/2019 00:00:00,23/03/2019 00:00:00,74.4
24/03/2019 00:00:00,24/03/2019 00:00:00,73.8
25/03/2019 00:00:00,25/03/2019 00:00:00,74.5
26/03/2019 00:00:00,26/03/2019 00:00:00,74.9
27/03/2019 00:00:00,27/03/2019 00:00:00,77.5
28/03/2019 00:00:00,28/03/2019 00:00:00,83.8
29/03/2019 00:00:00,29/03/2019 00:00:00,87.1
30/03/2019 00:00:00,30/03/2019 00:00:00,98.4
31/03/2019 00:00:00,31/03/2019 00:00:00,98.7
02/04/2019 00:00:00,02/04/2019,90.5
03/04/2019 00:00:00,03/04/2019,90.8
04/04/2019 00:00:00,04/04/2019,91.3
05/04/2019 00:00:00,05/04/2019,83.1
06/04/2019 00:00:00,06/04/2019,76.4
07/04/2019 00:00:00,07/04/2019,75
08/04/2019 00:00:00,08/04/2019,77.4
09/04/2019 00:00:00,09/04/2019,75.9
10/04/2019 00:00:00,10/04/2019,75.3
11/04/2019 00:00:00,11/04/2019,86.2
12/04/2019 00:00:00,12/04/2019,86.8
13/04/2019 00:00:00,13/04/2019 00:00:00,91.1
14/04/2019 00:00:00,14/04/2019 00:00:00,92.9
15/04/2019 00:00:00,15/04/2019 00:00:00,97.7
16/04/2019 00:00:00,16/04/2019 00:00:00,96.4
17/04/2019 00:00:00,17/04/2019 00:00:00,88.4
18/04/2019 00:00:00,18/04/2019 00:00:00,90.4
19/04/2019 00:00:00,19/04/2019 00:00:00,88.4
20/04/2019 00:00:00,20/04/2019 00:00:00,70.3
21/04/2019 00:00:00,21/04/2019 00:00:00,71.7
22/04/2019 00:00:00,22/04/2019 00:00:00,70
23/04/2019 00:00:00,23/04/2019 00:00:00,67.5
24/04/2019 00:00:00,24/04/2019 00:00:00,69.5
25/04/2019 00:00:00,25/04/2019 00:00:00,69.2
26/04/2019 00:00:00,26/04/2019 00:00:00,67.4
27/04/2019 00:00:00,27/04/2019 00:00:00,65.7
28/04/2019 00:00:00,28/04/2019 00:00:00,66.9
29/04/2019 00:00:00,29/04/2019 00:00:00,65.6
30/04/2019 00:00:00,30/04/2019 00:00:00,65.3
02/05/2019 00:00:00,02/05/2019,66.2
03/05/2019 00:00:00,03/05/2019,70.3
04/05/2019 00:00:00,04/05/2019,71.6
05/05/2019 00:00:00,05/05/2019,89.7
06/05/2019 00:00:00,06/05/2019,95
07/05/2019 00:00:00,07/05/2019,89.4
08/05/2019 00:00:00,08/05/2019,87.6
09/05/2019 00:00:00,09/05/2019,84.1
10/05/2019 00:00:00,10/05/2019,83.2
11/05/2019 00:00:00,11/05/2019,78.9
12/05/2019 00:00:00,12/05/2019,98.7
13/05/2019 00:00:00,13/05/2019 00:00:00,102.5
14/05/2019 00:00:00,14/05/2019 00:00:00,97.4
15/05/2019 00:00:00,15/05/2019 00:00:00,86.9
16/05/2019 00:00:00,16/05/2019 00:00:00,86.2
